Nombre,Puntos
R. Sociedad,R. Sociedad
Real Madrid,Real Madrid
Sevilla,Sevilla
Atlético,Atlético
Betis,Betis
Rayo,Rayo
Osasuna,Osasuna
Athletic,Athletic
Barcelona,Barcelona
Valencia,Valencia
Espanyol,Espanyol
Villarreal,Villarreal
Mallorca,Mallorca
Alavés,Alavés
Celta,Celta
Cádiz,Cádiz
Granada,Granada
Elche,Elche
Levante,Levante
Getafe,Getafe
